date,temperature,dew_point,humidity,wind_speed,wind_gust,pressure,precipitation
2020-01-01,11.8,10.8,73.4,6.6,4.2,1010.9548710451987,3.3151269770995215
2020-01-02,21.2,11.2,77.2,8.2,6.2,1014.5736339960491,2.517673247975046
2020-01-03,15.4,13.4,66.4,5.2,8.2,1013.4951771372316,2.726084401918631
2020-01-04,20.0,11.8,76.8,4.4,8.8,1010.0897078203095,2.299883616363566
2020-01-05,19.4,15.2,75.4,6.6,7.2,1013.5658542245586,2.3490320803584246
2020-01-06,15.6,13.4,70.2,5.2,9.2,1009.5623494393506,2.7754979239982562
2020-01-07,17.6,13.4,78.6,5.2,8.4,1015.733508773548,2.086967165006911
2020-01-08,21.6,16.2,76.4,4.6,10.8,1009.0349031818592,1.585133259720759
2020-01-09,16.4,13.8,76.4,5.8,2.6,1009.952208099453,1.9056777738903574
2020-01-10,13.0,12.6,73.4,7.6,10.6,1011.3798263492201,2.9484010841893484
2020-01-11,14.8,12.4,78.6,6.4,8.6,1010.3525990234784,1.8980031335805507
2020-01-12,16.2,10.8,72.6,3.8,6.0,1013.6198217245652,2.523030481590715
2020-01-13,13.8,12.4,76.4,3.8,5.8,1012.402700253025,2.256632174993291
2020-01-14,16.6,13.2,73.2,6.0,7.4,1012.9183094867327,3.025446707355067
2020-01-15,19.6,10.8,73.2,8.2,8.0,1014.2426288822431,2.616251918474783
2020-01-16,14.0,14.2,69.6,6.2,10.0,1014.736173671681,3.352189622695054
2020-01-17,17.6,10.2,71.6,5.2,7.6,1012.638791360065,2.1565358800671506
2020-01-18,13.6,13.2,79.2,5.2,9.8,1011.9809708640317,2.034966775975242
2020-01-19,15.8,13.8,74.2,4.0,6.2,1014.624774696106,3.0145530483016527
2020-01-20,14.4,13.2,76.0,4.0,8.8,1014.4266727428546,1.2415530115792404
2020-01-21,15.8,11.2,72.8,6.2,5.6,1013.5551237656815,2.5670502125448396
2020-01-22,18.4,14.0,84.2,4.0,10.0,1012.4234907500304,3.3165435097229343
2020-01-23,16.6,13.4,71.4,5.6,7.4,1017.7877365234217,2.7747027172933723
2020-01-24,14.4,14.2,79.4,3.2,7.2,1014.734868410603,1.4512197065985173
2020-01-25,13.4,11.8,72.6,6.0,10.0,1011.6016427383704,2.2788357398622914
2020-01-26,17.8,11.8,66.8,4.6,7.6,1014.0266040802313,2.8210453830222524
2020-01-27,19.2,11.4,74.0,5.4,7.8,1015.3742161808328,2.8127970960648563
2020-01-28,12.8,14.2,72.8,2.8,7.4,1012.4130080368998,2.1030108420625253
2020-01-29,12.6,11.4,73.0,5.8,12.0,1013.0372464615014,2.2997790016390947
2020-01-30,19.0,10.0,70.2,5.0,5.4,1012.6977704671215,3.0007443392052062
2020-01-31,13.2,10.6,67.4,6.0,4.8,1009.3078387927746,1.9951474344485771
2020-02-01,17.2,18.4,75.2,3.0,7.8,1013.0797675218067,1.1653295331701945
2020-02-02,19.4,14.6,74.8,4.2,9.6,1013.6259492333311,1.8716952911009912
2020-02-03,16.6,14.2,78.4,4.2,7.0,1010.7731385306346,1.3694410905286076
2020-02-04,21.6,13.8,74.6,3.6,8.6,1013.4358296184619,2.2326756907246548
2020-02-05,14.0,14.0,66.0,6.0,6.2,1009.2572568756677,1.9224351314876575
2020-02-06,17.0,9.2,76.8,5.2,10.0,1011.20963609223,2.955386034050034
2020-02-07,13.4,14.2,72.6,6.4,8.0,1014.9329323122258,2.597461843390831
2020-02-08,18.4,12.4,74.2,4.6,6.4,1011.7394338093318,1.5047398764465192
2020-02-09,13.8,12.6,75.0,6.4,5.4,1012.4298993412733,3.2493793826250474
2020-02-10,19.8,12.6,74.4,5.2,9.0,1012.6776585476158,3.42666017226189
2020-02-11,15.4,12.2,65.4,3.8,7.2,1011.4579197681381,2.5344279509633894
2020-02-12,14.4,13.2,74.8,6.2,3.2,1010.6372060049246,2.951054064669633
2020-02-13,14.8,14.6,72.8,6.2,4.6,1013.0813651092924,1.7705518958381496
2020-02-14,19.6,16.0,78.4,6.2,6.8,1012.7290934567849,2.309360470144102
2020-02-15,16.4,11.8,78.2,6.4,10.2,1010.8188881527891,2.843387669828331
2020-02-16,17.6,12.2,77.2,4.2,10.0,1011.8838255966341,2.5857643315926238
2020-02-17,18.0,15.8,76.8,4.4,7.0,1012.0948327166855,2.4230195246577444
2020-02-18,14.6,13.8,74.2,5.8,9.6,1012.5476939022458,3.326275428132867
2020-02-19,16.4,9.4,70.6,5.4,11.8,1008.1518489549201,3.411522695170114
2020-02-20,15.0,12.0,75.0,4.2,6.0,1014.0155946103636,1.2890877375258918
2020-02-21,14.8,14.2,74.8,6.4,6.8,1015.4429655913057,2.8299735780134467
2020-02-22,13.6,10.6,80.8,5.2,12.2,1012.0220050264318,2.5272801561233136
2020-02-23,16.8,13.2,68.4,6.4,5.0,1010.8119956033212,1.9678848728190297
2020-02-24,19.0,13.8,72.4,3.2,6.2,1018.0590494685479,1.8783268102920618
2020-02-25,19.0,9.8,79.2,3.4,8.8,1012.9287403511049,2.621011577287319
2020-02-26,14.0,14.0,74.2,7.6,7.6,1016.0640079097577,1.3549151960286434
2020-02-27,16.2,13.8,71.4,6.0,8.0,1013.9268298448035,2.048235590407319
2020-02-28,16.2,15.0,78.6,5.6,8.0,1010.5902387234931,2.4514561920574733
2020-02-29,18.8,14.8,73.0,5.8,6.4,1013.064142084301,3.449987988995525
2020-03-01,18.0,11.6,75.4,5.6,7.6,1012.9581611438691,1.4384733428135301
2020-03-02,17.0,12.4,75.4,1.0,7.4,1011.7025971688885,2.9169682241607573
2020-03-03,13.0,11.4,70.0,5.0,8.4,1013.6086513048116,2.352858285848716
2020-03-04,10.4,9.2,78.8,3.8,5.6,1011.4615345691767,2.368125115475323
2020-03-05,13.4,10.4,72.4,6.6,8.0,1014.0471789606888,2.288399872708574
2020-03-06,15.2,10.8,80.6,3.8,9.8,1013.2173464312154,2.73360306999644
2020-03-07,18.8,13.6,74.2,2.6,6.2,1010.1754985058964,2.5041429335506105
2020-03-08,15.2,12.4,69.6,5.2,4.4,1015.7859534461983,2.5979555925344022
2020-03-09,15.4,12.0,72.0,4.4,5.2,1009.4119164008501,1.8180924094237731
2020-03-10,17.0,11.4,80.4,5.6,6.8,1013.3270155331666,2.7224300998415822
2020-03-11,13.6,15.2,74.4,3.6,8.0,1014.1139761003635,2.7584537215375535
2020-03-12,17.2,11.2,76.0,5.4,7.0,1007.9029135651011,2.0274077922554445
2020-03-13,20.6,8.2,72.4,4.2,6.2,1015.0505687232737,3.1764184477171113
2020-03-14,18.4,9.8,74.6,2.0,9.0,1011.062637535407,2.5380663406788746
2020-03-15,18.2,10.6,77.0,4.0,10.2,1010.408694648799,2.259678941093592
2020-03-16,13.6,13.4,79.6,5.6,5.8,1009.5012296415268,3.5245532727632756
2020-03-17,17.8,14.0,79.4,3.6,7.6,1007.0807746541374,3.1727796232188163
2020-03-18,16.0,14.4,76.2,3.4,8.6,1010.8964590924776,2.0704978618575565
2020-03-19,13.0,9.6,75.8,3.4,6.6,1015.7391505001254,1.8313964015403834
2020-03-20,14.4,8.4,78.4,2.2,9.4,1011.6380887599737,3.622992252188132
2020-03-21,14.4,14.6,77.0,3.4,3.0,1012.3232532131611,3.8106408328479007
2020-03-22,16.0,10.6,73.8,4.8,7.2,1014.0063193749586,1.9819664466839035
2020-03-23,21.4,10.6,72.4,6.2,7.4,1013.6738651627629,2.684816481517445
2020-03-24,18.4,12.8,77.6,3.6,10.6,1014.0029856661076,2.3982939548893953
2020-03-25,17.8,14.2,74.8,3.2,5.8,1007.5488093994256,2.5247326632083054
2020-03-26,19.6,11.0,74.0,5.6,5.4,1014.6780302406485,2.3329451512165447
2020-03-27,15.4,9.8,81.6,5.2,5.2,1018.6987842513638,2.4023558147662873
2020-03-28,18.8,8.0,79.0,4.6,7.8,1015.9285808402501,1.8636609021015567
2020-03-29,16.8,15.2,76.8,4.4,9.0,1012.0448733753299,3.526283638692721
2020-03-30,15.2,13.8,77.0,6.4,8.6,1013.7029522119367,2.4624931020752263
2020-03-31,18.4,11.0,72.4,5.6,6.8,1011.1727991092532,1.7193510505904779
2020-04-01,15.4,9.4,76.2,5.6,6.6,1012.7032768469571,2.6465805340313637
2020-04-02,15.8,14.8,81.2,7.4,5.6,1011.4386200178876,1.7495631199426172
2020-04-03,17.6,13.4,75.8,5.2,8.6,1016.8863264476506,2.358673341197923
2020-04-04,17.4,12.0,74.4,6.0,7.8,1011.8349476940555,2.8637173577238375
2020-04-05,18.6,10.4,72.0,6.2,5.6,1011.0752690955753,2.0045226277709376
2020-04-06,16.4,16.4,78.0,6.0,8.4,1012.3699908703935,2.0486922978730497
2020-04-07,20.0,9.6,74.0,4.2,3.4,1014.541938701432,2.461291783651503
2020-04-08,15.4,16.6,73.2,4.6,4.4,1014.0559041858971,1.8205094208846835
2020-04-09,15.4,14.8,72.6,4.6,1.6,1014.181640111243,2.3742727320688597
2020-04-10,15.6,16.0,80.0,2.6,3.4,1008.8572283062815,2.460807907334163
2020-04-11,15.2,13.6,69.6,6.0,8.8,1011.2569641288435,2.236488806562285
